source_id,fishery_name,river_label,block,crc_areas,tier,mode_source,location_source,notes,area_coverage
creel_pe,Cascade fall salmon 2022,Cascade,PugetSound,826,P1,interview_prop,design_stratum,NA,standard
creel_pe,Cascade fall salmon 2023,Cascade,PugetSound,826,P1,interview_prop,design_stratum,NA,standard
creel_pe,Cascade fall salmon 2024,Cascade,PugetSound,826,P1,interview_prop,design_stratum,NA,standard
creel_pe,Chehalis salmon 2022,Chehalis,WACoast,317,P1,interview_prop,design_stratum,NA,standard
creel_pe,Chehalis salmon 2024,Chehalis,WACoast,315|317,P1,interview_prop,design_stratum,NA,standard
creel_pe,Chehalis salmon 2025,Chehalis,WACoast,315|317,P1,interview_prop,design_stratum,NA,standard
creel_pe,Drano Lake salmon and steelhead 2022,Drano Lake,ColumbiaMiddle,618,P1,interview_prop,design_stratum,NA,standard
creel_pe,Drano Lake salmon and steelhead 2023,Drano Lake,ColumbiaMiddle,618,P1,interview_prop,design_stratum,NA,standard
creel_pe,Drano Lake salmon and steelhead 2024,Drano Lake,ColumbiaMiddle,618,P1,interview_prop,design_stratum,NA,standard
creel_pe,Drano Lake salmon and steelhead 2025,Drano Lake,ColumbiaMiddle,618,P1,interview_prop,design_stratum,NA,standard
creel_pe,Hoh fall salmon 2023,Hoh,WACoast,348|350,P1,interview_prop,design_stratum,NA,standard
creel_pe,Hoh fall salmon 2025,Hoh,WACoast,348|350,P1,interview_prop,design_stratum,NA,standard
creel_pe,Humptulips salmon 2022,Humptulips,WACoast,358,P1,interview_prop,design_stratum,NA,standard
creel_pe,Humptulips salmon 2023,Humptulips,WACoast,358,P1,interview_prop,design_stratum,NA,standard
creel_pe,Humptulips salmon 2024,Humptulips,WACoast,358,P1,interview_prop,design_stratum,NA,standard
creel_pe,Humptulips salmon 2025,Humptulips,WACoast,358,P1,interview_prop,design_stratum,NA,standard
creel_pe,Lower Chehalis salmon 2023,Lower Chehalis,WACoast,317,P1,interview_prop,design_stratum,NA,standard
creel_pe,Lower Cowlitz salmon and steelhead 2022-23,Lower Cowlitz,ColumbiaLower,561,NO_DATA,interview_prop,design_stratum,"absent from multi_fishery_creel_trips.csv - lacks data needed for effort estimation (confirmed genuine gap, not a pipeline bug). CORRECTED 2026-08-29: crc_areas was 507|561 - 507 is Blue Creek (Lewis Co.), a distinct, unrelated tributary per crc_area_lut.csv, not part of Lower Cowlitz. Found during Evan's regulatory season-status verification pass; 507 now has its own crosswalk row below",standard
